"filename", "language", "Python", "Django txt", "Markdown", "JSON", "CSV", "TSV", "log", "Excel", "comment", "blank", "total"
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\GUI.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 33, 17, 77
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\TODO.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\__main__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\core\__init__.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\core\args.py", "Python", 291, 0, 0, 0, 0, 0, 0, 0, 41, 44, 376
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\core\forest.py", "Python", 127, 0, 0, 0, 0, 0, 0, 0, 27, 32, 186
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\core\nans.json", "JSON", 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\core\utilities.py", "Python", 171, 0, 0, 0, 0, 0, 0, 0, 115, 40, 326
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\data\BioCode Machine Learning Fixed - Final.csv", "CSV", 0, 0, 0, 0, 1245, 0, 0, 0, 0, 0, 1245
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\data\Copy of HymenopteraSequenceDataNE.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 4110, 0, 106, 4216
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\data\NEallResults.csv", "CSV", 0, 0, 0, 0, 181, 0, 0, 0, 0, 1, 182
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\data\NEallResults.txt", "Django txt", 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 181
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\data\NewEnglandBold.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 26550, 0, 175, 26725
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\data\NewEnglandFinal copy.tsv", "TSV", 0, 0, 0, 0, 0, 1473, 0, 0, 0, 0, 1473
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\data\NewEnglandFinal.txt", "Django txt", 0, 1473, 0, 0, 0, 0, 0, 0, 0, 0, 1473
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\BCM_complex_test.csv", "CSV", 0, 0, 0, 0, 1245, 0, 0, 0, 0, 1, 1246
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\BCM_simple_test.csv", "CSV", 0, 0, 0, 0, 1245, 0, 0, 0, 0, 1, 1246
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\NEF_revision.csv", "CSV", 0, 0, 0, 0, 1473, 0, 0, 0, 0, 1, 1474
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\NEF_revision2.csv", "CSV", 0, 0, 0, 0, 1473, 0, 0, 0, 0, 1, 1474
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\BCM_complex_test.log", "log", 0, 0, 0, 0, 0, 0, 45, 0, 0, 1, 46
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\BCM_simple_test.log", "log", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\NEF.log", "log", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto0.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto1.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto10.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto11.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto12.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto13.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto14.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto15.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto16.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto17.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto18.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto19.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto2.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto20.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto21.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto22.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto23.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto24.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto25.log", "log", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto26.log", "log", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
