Group	Species	N	Status	Regions	Group2	MLdistance	MLsimilarity	AAdistance	AAsimilarity	ZtestDistance	ZtestSimilarity	Nsdistance	Nssimilarity	PatristicDistance	PatristicSimilarity
Group_1	Camponotus pennsylvanicus	9	native	nearctic / palearctic 	group_1	0.05651759	0.00837729	0.00917438	0.00466869	0	0.36847236	0.0039907	0.00203503	0.06016667	0.0145
Group_10	Sirex noctilio	10	introduced	nearctic / palearctic	group_10	0.09328402	0	0.05635294	0	0	1	0.0341196	0	0.1005	0.001
Group_100		1	NA	NA	group_100	0.18558096	NA	0.17754828	NA	0	NA	0.10467097	NA	0.184	NA
Group_101		2	NA	NA	group_101	0.13824061	0.004578	0.07539802	0	0	0.08264548	0.05299317	0	0.1125	0.005
Group_102	Vespula maculifrons	4	native	nearctic	group_102	0.20299193	0.00527407	0.18238212	0	0	0.08813235	0.10413454	0	0.1355	0.00966667
Group_103	Pimpla aequalis	3	native	nearctic	group_103	0.17022094	0.00305017	0.12638154	0	0	0.18576327	0.08113238	0	0.164	0.003
Group_104		1	NA	NA	group_104	0.10020192	NA	0.06606175	NA	0	NA	0.03505311	NA	0.099	NA
Group_105		2	NA	NA	group_105	0.23852297	0	0.24409892	0	0	1	0.15940184	0	0.243	0
Group_106	Glyptapanteles sp.	1	NA		group_106	0.1359867	NA	0.1008047	NA	0	NA	0.05118317	NA	0.108	NA
Group_107		1	NA	NA	group_107	0.13379856	NA	0.10379679	NA	0	NA	0.06022241	NA	0.099	NA
Group_108		1	NA	NA	group_108	0.19867931	NA	0.1687159	NA	0	NA	0.1008227	NA	0.186	NA
Group_109		1	NA	NA	group_109	0.16127445	NA	0.04695698	NA	0	NA	0.03031736	NA	0.149	NA
Group_11	Sirex cyaneus	1	native	nearctic	group_11	0.03434829	NA	0.01379332	NA	0	NA	0.00589394	NA	0.034	NA
Group_110		1	NA	NA	group_110	0.10428402	NA	0.02457126	NA	0	NA	0.01211332	NA	0.104	NA
Group_111		2	NA	NA	group_111	0.05585423	0.00304889	0.00585623	0	0	0.15717212	0.00254784	0	0.06016667	0.003
Group_112	Campoletis flavicincta	1	NA	nearctic / neotropic	group_112	0.17137341	NA	0.105868	NA	0	NA	0.07749924	NA	0.139	NA
Group_113		1	NA	NA	group_113	0.15606399	NA	0.09763847	NA	0	NA	0.0659881	NA	0.125	NA
Group_114		3	NA	NA	group_114	0.10817543	0.00304916	0.04695698	0	0	0.38836514	0.02181251	0	0.10733333	0.00333333
Group_115	Lasioglossum truncatum	2	native	nearctic	group_115	0.12634934	0	0.02331108	0	0	1	0.01390308	0	0.10733333	0
Group_116		1	NA	NA	group_116	0.19002513	NA	0.15262977	NA	0	NA	0.11602029	NA	0.181	NA
Group_117		1	NA	NA	group_117	0.19898726	NA	0.20168592	NA	0	NA	0.12904079	NA	0.176	NA
Group_118		3	NA	NA	group_118	0.35809457	0	0.36340629	0	0	1	0.2492086	0	0.314	0
Group_119		1	NA	NA	group_119	0.07566295	NA	0.02777956	NA	0	NA	0.01681574	NA	0.08	NA
Group_12	Sirex cyaneus	1	native	nearctic	group_12	0.0964286	NA	0.06031979	NA	0	NA	0.03214778	NA	0.034	NA
Group_120		1	NA	NA	group_120	0.14898132	NA	0.02871011	NA	0	NA	0.02599914	NA	0.149	NA
Group_121		1	NA	NA	group_121	0.10354535	NA	0.02777956	NA	0	NA	0.01684351	NA	0.08	NA
Group_122	Halictus ligatus	1	native	nearctic	group_122	0.16639098	NA	0.11221199	NA	0	NA	0.07089463	NA	0.14	NA
Group_123	Lasioglossum cressonii	1	native	nearctic	group_123	0.07046289	NA	0.02309571	NA	0	NA	0.01183457	NA	0.069	NA
Group_124	Lasioglossum vierecki	2	native	nearctic	group_124	0.06538468	0	0.0098523	0	0	1	0.00846869	0	0.0715	0.001
Group_125	Neopareophora litura	1	native	nearctic	group_125	0.11652231	NA	0.02877896	NA	0	NA	0.02392547	NA	0.118	NA
Group_126	Lasioglossum coreopsis	1	native	nearctic	group_126	0.07090991	NA	0.00917438	NA	0	NA	0.00884966	NA	0.075	NA
Group_127		2	NA	NA	group_127	0.12095039	0.0015236	0.01960847	0	0	0.31768164	0.01613508	0	0.1185	0.002
Group_128	Lasioglossum laevissimum	1	native	nearctic	group_128	0.03741077	NA	0.00457667	NA	0	NA	0.003928	NA	0.037	NA
Group_129	Lasioglossum ellisiae	1	native	nearctic	group_129	0.04708037	NA	0	NA	0	NA	0	NA	0.068	NA
Group_13		3	NA	NA	group_13	0.11243561	0	0.06856444	0	0	1	0.03773033	0	0.117	0
Group_130	Lasioglossum imitatum	1	native	nearctic	group_130	0.05869841	NA	0.00457667	NA	0	NA	0.0039203	NA	0.054	NA
Group_131		1	NA	NA	group_131	0.18952105	NA	0.1504332	NA	0	NA	0.09719772	NA	0.09	NA
Group_132	Lasioglossum rozeni	1	native	nearctic	group_132	0.0460353	NA	0	NA	0	NA	0	NA	0.044	NA
Group_133	Lasioglossum versatum	1	native	nearctic	group_133	0.03110374	NA	0	NA	0	NA	0	NA	0.034	NA
Group_134	Lasioglossum georgeickworti	9	native	nearctic	group_134	0.03738523	0.0086133	0	0	0	0.14445332	0	0	0.037	0.01008333
Group_135	Lasioglossum katherineae	3	native	nearctic	group_135	0.03197075	0	0	0	0	1	0	0	0.034	0
Group_136	Lasioglossum oblongum	1	native	nearctic	group_136	0.03758468	NA	0	NA	0	NA	0	NA	0.037	NA
Group_137	Lasioglossum tegulare	2	native	nearctic	group_137	0.07072257	0.0026714	0.01481509	0	0	0.31647106	0.00954076	0	0.068	0.016
Group_138	Symmorphus canadensis	1	native	nearctic	group_138	0.20628346	NA	0.18186094	NA	0	NA	0.10286131	NA	0.201	NA
Group_139	Ponera pennsylvanica	2	native	nearctic	group_139	0.21566584	0.0015236	0.11607217	0	0	0.31768536	0.09232352	0	0.0305	0.002
Group_14		2	NA	NA	group_14	0.2700303	0	0.28304169	0	0	1	0.20683209	0	0.117	0.012
Group_140		2	NA	NA	group_140	0.15057808	0	0.1008047	0	0	1	0.06641505	0	0.15133333	0
Group_141		2	NA	NA	group_141	0.16463784	0	0.09075436	0	0	1	0.05993035	0	0.158	0
Group_142		1	NA	NA	group_142	0.18791322	NA	0.12479077	NA	0	NA	0.08455176	NA	0.133	NA
Group_143		1	NA	NA	group_143	0.2449337	NA	0.24629686	NA	0	NA	0.17545977	NA	0.158	NA
Group_144		1	NA	NA	group_144	0.14507489	NA	0.1328481	NA	0	NA	0.07771144	NA	0.119	NA
Group_145	Lasioglossum oenotherae	1	native	nearctic	group_145	0.13984192	NA	0.05688737	NA	0	NA	0.03345149	NA	0.119	NA
Group_146	Lasioglossum marinum	1	native	nearctic	group_146	0.07758238	NA	0.00716849	NA	0	NA	0.00791042	NA	0.074	NA
Group_147	Lasioglossum nigroviride	1	native	nearctic	group_147	0.06322763	NA	0.00459781	NA	0	NA	0.00394619	NA	0.037	NA
