Number	Order_Group	Species_Name	Final_Status	Status_Confidence	Database_Confidence	Group_Count	Species_Count	Sequence_Count	ML_Distance	ML_Similarity	dN_Distance	dN_Similarity	dS_Distance	dS_Similarity	AA_Distance	AA_Similarity	Ztest_Distance	Ztest_Similarity	dN/dS_Distance	dN/dS_Similarity
1	Blattodea_Group_1	Reticulitermes sp				1	1	15	0.57785531	0.00801753	0.02037179	0	1.68052374	0.01742882	0.02671656	0	0	0.3766618326	0.01212228635	0
2	Blattodea_Group_2	Parcoblatta sp				1	1	4	0.46699162	0	0.0284189	0	1.03258451	0	0.03316901	0	0	1	0.02752210567	
3	Blattodea_Group_3	Periplaneta americana	Introduced	100	100	1	1	3	0.46699162	0.06970739	0.02037179	0	1.03258451	0.16271936	0.02671656	0	0	5.06E-05	0.0197289324	0
4	Coleoptera_Group_1	Trixagus carinicollis	Native	100	100	1	1	3	0.2948557046	0.0010158184	0.1100409189	0	1.11160674	0.0041068	0.1741359722	0	0	0.54522657	0.09899266975	0
5	Coleoptera_Group_10	Lilioceris lilii	Introduced	100	100	1	1	1	0.2254459766		0.0429858424		0.87767344		0.0651393022		0		0.04897703456	
6	Coleoptera_Group_100					0		1	0.180926269		0.01975300687		0.73154114		0.02154898917		0		0.02700190842	
7	Coleoptera_Group_101	Epuraea corticina	Native	100	100	1	1	2	0.1847377116	0.0138074975	0.0450979014	0	0.72056033	0.05950256	0.0419641991	0	0	0.00249068	0.0625872665	0
8	Coleoptera_Group_102					0		2	0.159687749	0	0.0407265701	0	0.59721618	0	0.0521857532	0	0	1	0.06819401661	
9	Coleoptera_Group_103					0		1	0.1382256332		0.0122036591		0.70923221		0.0137933221		0		0.01720685965	
10	Coleoptera_Group_104	Bembidion concretum	Native	100	100	1	1	1	0.1250232373		0.0122036591		0.58333295		0.0137933221		0		0.0209205722	
11	Coleoptera_Group_105					0		2	0.1250232373	0.0201651831	0.0112252721	0	0.58333295	0.08637854	0.0092383845	0	0	0.00026185	0.01924333625	0
12	Coleoptera_Group_106	Quedius laticollis	Native	33	50	1	1	6	0.1584364736	0.01501743775	0.02314711413	0.005554246027	0.65469838	0.04648223	0.02421412292	0.01274928	0	0.27377709	0.0353553863	0.119491815
13	Coleoptera_Group_107					0		2	0.1582811363	0.0045775894	0.0082165437	0	0.73852402	0.01882944	0	0	0	0.08295513	0.01112562825	0
14	Coleoptera_Group_108					0		1	0.1476322544		0.0184435524		0.70179692		0.0185190478		0		0.02628046928	
15	Coleoptera_Group_109	Cercyon praetextatus	Native	100	100	1	1	3	0.1692210319	0.0010158184	0.01962945245	0	0.6393668	0.0041929	0.0137933221	0	0	0.54520587	0.03070139465	0
16	Coleoptera_Group_11					0		1	0.2543202485		0.0948631103		0.79810566		0.1095622025		0		0.1188603402	
17	Coleoptera_Group_110					0		1	0.1444281147		0.0164117573		0.6275768		0.0092383845		0		0.02615099427	
18	Coleoptera_Group_111	Asaphidion curtum	Introduced	100	100	1	1	1	0.1486136285		0.0173006314		0.62887766		0.0137933221		0		0.02751032912	
19	Coleoptera_Group_112					0		1	0.1444281147		0.0152702934		0.61649814		0.0137933221		0		0.02476940709	
20	Coleoptera_Group_113					0		1	0.148367459		0.0278478191		0.5678531		0.0257524961		0		0.04904053372	
21	Coleoptera_Group_114					0		1	0.1464452914		0.01475232774		0.66331988		0.0137933221		0		0.02224014113	
22	Coleoptera_Group_115					0		1	0.1268993003		0.0105154194		0.5506565		0.0191393402		0		0.0190961505	
23	Coleoptera_Group_116	Enochrus ochraceus	Native	100	100	1	1	6	0.1582811363	0.03514773925	0.01837383968	0	0.71289066	0.15864375	0.004576667	0	0	0.00918969	0.02577371357	0
24	Coleoptera_Group_117	Sphaeroderus canadensis	Native	100	100	1	1	45	0.09015370271	0.001323741892	0.0002921402422	0.0004361223067	0.44645525	0.00407698	0.0005085185556	0.00098945	0	0.59108894	0.0006543550383	0.1069719024
25	Coleoptera_Group_118	Sphaeroderus stenostomus	Native	100	100	1	2	2	0.04116335142	0	6.33E-05	0	1.82E-01	0	0.0001430208438	0	1.30E-09	1	3.49E-04	
26	Coleoptera_Group_119	Dineutus nigrior	Native	100	100	1	1	2	0.13251511	0.0076562339	0.02261166271	0	0.5368579	0.0324726	0.0230957148	0	0	0.02483813	0.04211852467	0
27	Coleoptera_Group_12	Cryptarcha ampla	Native	100	100	1	1	1	0.2121754247		0.0502200642		0.78752821		0.05545419585		5.65E-14		0.06376922574	
28	Coleoptera_Group_120	Brachinus fulminatus	Native	100	100	1	1	2	0.1332686813	0.0472417738	0.02116503045	0.0071186975	0.54496475	0.18324563	0.02366818717	0.00917438	0	4.57E-07	0.03883743022	0.03884784319
29	Coleoptera_Group_121	Notiophilus aeneus	Native	100	100	1	1	16	0.1326713298	0.004038004581	0.01561769256	0.0005114804025	0.59695891	0.01494736	0.01208972012	0.00115329	0	0.36365417	0.02616208972	0.0342187786
30	Coleoptera_Group_122	Platynus decentis	Native	100	100	1	1	8	0.1292275147	0.004488408861	0.007075271275	0	0.61877623	0.01883873	0.004587335263	0	0	0.29931025	0.01143429714	0
31	Coleoptera_Group_123					0		1	0.101246104		0.0222989398		0.40584823		0.0137933221		0		0.0549440361	
32	Coleoptera_Group_124	Dyschirius dejeanii	Native	100	100	1	1	1	0.101246104		0.0222989398		0.40584823		0.0137933221		1.73E-12		0.0549440361	
33	Coleoptera_Group_125	Bembidion immaturum	Native	100	100	1	1	1	0.124923549		0.0112252721		0.4911012		0.0092383845		0		0.02285735018	
34	Coleoptera_Group_126	Carabus goryi	Native	100	100	2	1	16	0.1440262647	0.003377783783	0.008282967334	0.0001783924633	0.74569614	0.01336365	0.007349023183	0.0004022	3.03E-11	0.47134616	0.01110769775	0.01334908227
35	Coleoptera_Group_126	Carabus nemoralis	Introduced	100	100	2	2	16	0.1440262647	0.003377783783	0.008282967334	0.0001783924633	0.74569614	0.01336365	0.007349023183	0.0004022	3.03E-11	0.47134616	0.01110769775	0.01334908227
36	Coleoptera_Group_127	Clivina americana	Native	66	50	1	1	2	0.1166765715	0	0.0162939199	0	0.50834066	0	0	0	4.03E-14	1	0.03205315093	
37	Coleoptera_Group_128					0		1	0.1245405463		0.01104961096		0.63334848		0.009482551178		0		0.01744633691	
38	Coleoptera_Group_129	Calosoma frigidum	Native	100	100	1	1	1	0.1207530584		0.0081301609		0.60272604		0.0092166551		0		0.01348898232	
39	Coleoptera_Group_13	Judolia cordifera	Native	100	100	1	1	1	0.2114987379		0.046433463		0.88125111		0.0660617507		0		0.0526903881	
40	Coleoptera_Group_130	Carabus nemoralis	Introduced	100	100	1	2	17	0.1154787238	0	0.007192848689	0	0.58038448	0	0.004730008939	0	0	1	0.01239324782	
41	Coleoptera_Group_131	Carabus serratus	Native	100	100	1	1	18	0.1154787238	0.001664582913	0.007192848689	0	0.58038448	0.00683118	0.004730008939	0	0	0.53787981	0.01239324782	0
42	Coleoptera_Group_132	Habrocerus capillaricornis	Introduced	100	50	1	1	1	0.1562473157		0.0326681588		0.60379253		0.0257524961		0		0.05410494032	
43	Coleoptera_Group_133					0		2	0.1241109747	0.0015231133	0.02098882325	0	0.4899493	0.00632915	0.0230957148	0	0	0.31779923	0.04283876566	0
44	Coleoptera_Group_134	Trechus apicalis	Native	66	100	1	1	2	0.1247659666	0.0015231133	0.0195935025	0	0.5310427	0.0064103	0.0137933221	0	0	0.31777972	0.03689628442	0
45	Coleoptera_Group_135					0		3	0.1241109747	0	0.02318865637	0	0.4899493	0	0.0196559168	0	3.09E-14	1	0.04732868557	
46	Coleoptera_Group_136	Tachys scitulus	Native	100	100	1	1	1	0.1268993003		0.0105154194		0.57965038		0.01856291735		0		0.0181409687	
47	Coleoptera_Group_137	Clivina dentipes	Native	100	100	1	1	1	0.1252772704		0.0162939199		0.48238612		0		0		0.03377775443	
48	Coleoptera_Group_138					0		1	0.1202569335		0.01354368539		0.51902544		0.0137933221		0		0.02609445384	
49	Coleoptera_Group_139	Coptotomus longulus	Native	100	100	1	1	1	0.1219636796		0.01580995226		0.52013931		0.01362660976		0		0.03039561124	
50	Coleoptera_Group_14					0		1	0.2392623787		0.0723451996		0.81452513		0.0957669051		0		0.0888188675	
51	Coleoptera_Group_140	Oxypselaphus pusillus	Native	100	100	1	1	2	0.1129351503	0	0.0131537942	0	0.50496183	0	0.00976858165	0	0	1	0.02604908613	
52	Coleoptera_Group_141					0		1	0.1097376986		0.0081301609		0.46955789		0.0092166551		0		0.01731450173	
53	Coleoptera_Group_142	Syntomus americanus	Native	100	100	1	1	7	0.1102653362	0.0009686495476	0.01332152676	0	0.48216409	0.00406726	0.01724582641	0	0	0.75913071	0.02762861657	0
54	Coleoptera_Group_143	Calathus ingratus	Native	100	100	1	1	14	0.1330720708	0.001070387415	0.01141351348	0.0002189313516	0.56454193	0.00368894	0.01396965149	0.00049466	0	0.61739553	0.02021729986	0.05934803809
55	Coleoptera_Group_144	Stenolophus ochropezus	Native	100	100	1	1	3	0.08876324343	0.001016732067	0.0020140999	0	0.43029696	0.00416669	0	0	0	0.54521217	0.004680720728	0
56	Coleoptera_Group_145	Stenolophus comma	Native	100	100	1	1	1	0.0700506412		0		0.33232904		0		3.34E-14		0	
57	Coleoptera_Group_146	Stenolophus lineola	Native	100	100	1	1	1	0.0700506412		0		0.33232904		0		3.42E-14		0	
58	Coleoptera_Group_147	Chlaenius emarginatus	Native	100	100	1	1	12	0.1113085864	0.006229890508	0.02091083838	0.0006089026515	0.40123212	0.02419029	0.01975510876	0.00138687	5.22E-13	0.10243399	0.05211656129	0.02517136634
59	Coleoptera_Group_148	Dicaelus politus	Native	100	100	2	1	10	0.1065487512	0.001344598851	0.01329115109	0	0.46373486	0.00553117	0.01208972012	0	1.83E-14	0.55169462	0.02866109977	0
60	Coleoptera_Group_148	Poecilus lucublandus	Native	100	100	2	3	10	0.1065487512	0.001344598851	0.01329115109	0	0.46373486	0.00553117	0.01208972012	0	1.83E-14	0.55169462	0.02866109977	0
61	Coleoptera_Group_149	Cymindis limbata	Native	66	50	1	1	7	0.05854924784	0.005097153352	0.0002967069048	0.0005756503429	0.27548932	0.01938144	0.0006538095714	0.00130762	8.69E-12	0.2011632	0.001077017812	0.02970111317
62	Coleoptera_Group_15					0		1	0.2215117192		0.0712079599		0.62258144		0.1008046991		4.45E-12		0.1143753336	
63	Coleoptera_Group_150	Cymindis platicollis	Native	100	100	1	1	3	0.05854924784	0.0179034325	0.0002967069048	0	0.27548932	0.07634995	0	0	2.33E-12	0.00276847	0.001077017812	0
64	Coleoptera_Group_151	Myas cyanescens	Native	100	100	1	1	15	0.1200633679	0.001051899381	0.01379361899	0	0.52213396	0.00392543	0.01928235107	0	0	0.64033339	0.02641777791	0
65	Coleoptera_Group_152					0		1	0.1149678595		0.0152444273		0.48128397		0.01438133363		0		0.03167449624	
66	Coleoptera_Group_153	Synuchus impunctatus	Native	100	100	1	3	191	0.127225408	0.003759136002	0.01358106182	0.0005215910562	0.51766417	0.01391385	0.01577005883	0.00113394	5.89E-14	0.35331709	0.02623527493	0.03748718408
67	Coleoptera_Group_154	Cymindis neglecta	Native	100	100	1	1	20	0.06779485567	0.0155587615	0.00012210023	0.0002614410263	0.32493074	0.0661177	0.00027700902	0.00059224	1.29E-08	0.08678961	0.0003757730955	0.003954176057
68	Coleoptera_Group_155					0		1	0.05275385471		0.00012210023		0.23807982		0		2.56E-10		0.0005128541764	
69	Coleoptera_Group_156	Olisthopus parmatus	Native	100	100	1	1	2	0.1027891457	0.0017114958	0.0053032906	0	0.44368417	0.00717709	0.002002291813	0	1.77E-13	0.31759537	0.01195285061	0
70	Coleoptera_Group_157	Scaphinotus viduus	Native	100	100	1	1	3	0.130085902	0	0.007301014284	0	0.56029261	0	0.004576667	0	0	1	0.01303071673	
71	Coleoptera_Group_158					0		1	0.0992297362		0.0081027122		0.43709934		0.004576667		1.59E-14		0.01853746153	
72	Coleoptera_Group_159	Amara lunicollis	Native	66	50	1	1	5	0.1021013614	0.00060924532	0.01253358354	0.00080213952	0.3889373	0	0.01038738816	0.00183067	3.67E-13	0.72753587	0.03222520324	
73	Coleoptera_Group_16	Nicrophorus orbicollis	Native	100	100	1	1	1	0.2083633613		0.050245502		0.89131214		0.0660617507		0		0.05637250941	
74	Coleoptera_Group_160					0		1	0.0911237098		0.006050453		0.43276359		0.004682934604		0		0.01398096591	
75	Coleoptera_Group_161	Apenes lucidula lucidula	Native	33		1	1	8	0.09844307373	0.001218961118	0.007712470423	0	0.41860197	0.00513277	0.002002291813	0	6.17E-12	0.58141537	0.01842435291	0
76	Coleoptera_Group_162	Agonum gratiosum	Native	100	100	1	1	6	0.08314715434	0.00183154772	0.004116735623	0	0.39321907	0.0076273	0	0	5.82E-13	0.49436166	0.01046931834	0
77	Coleoptera_Group_163	Agonum retractum	Native	100	100	1	1	26	0.08314715434	0.002199895017	0.004116735623	0	0.39321907	0.00910906	0.004682934604	0	2.55E-13	0.48966143	0.01046931834	0
78	Coleoptera_Group_164	Anisodactylus rusticus	Native	100	100	1	1	1	0.0952054326		0.0060565605		0.43709934		0.004576667		0		0.01385625634	
79	Coleoptera_Group_165	Agonoleptus conjunctus	Native	100	100	1	1	1	0.0959800899		0.0070826833		0.36914366		0.0091743763		0		0.01918679384	
80	Coleoptera_Group_166	Gastrellarius honestus	Native	100	100	1	1	4	0.09443642243	0.0008094361333	0.01193956068	0	0.40505905	0.003351	0.007773476109	0	3.79E-13	0.65885479	0.02947609906	0
81	Coleoptera_Group_167					0		1	0.09001635085		0.002015453		0.41538226		0		0		0.004852043994	
82	Coleoptera_Group_168	Pterostichus coracinus	Native	100	100	2	3	60	0.07723642372	0.0008044961845	0.01029855642	0.0005336025811	0.33041912	0.00167459	0.009643875632	0.00122071	1.86E-12	0.80794811	0.03116816127	0.3186467023
83	Coleoptera_Group_168	Pterostichus rostratus	Native	100	100	2	1	60	0.07723642372	0.0008044961845	0.01029855642	0.0005336025811	0.33041912	0.00167459	0.009643875632	0.00122071	1.86E-12	0.80794811	0.03116816127	0.3186467023
84	Coleoptera_Group_169	Pterostichus adoxus	Native	100	100	2	2	26	0.02723855723	0.0003325231926	0.00169803603	0	0.11331895	0.00139562	0.0001228141091	0	2.11E-06	0.85626705	0.01498457257	0
85	Coleoptera_Group_169	Pterostichus coracinus	Native	100	100	2	3	26	0.02723855723	0.0003325231926	0.00169803603	0	0.11331895	0.00139562	0.0001228141091	0	2.11E-06	0.85626705	0.01498457257	0
86	Coleoptera_Group_17	Podabrus flavicollis	Native	66	50	1	1	2	0.1129961862	0	0.0060261456	0	0.58721864	0	0	0	0	1	0.01026218378	
87	Coleoptera_Group_170	Pterostichus luctuosus	Native	100	100	1	1	1	0.0701816093		0.0100875764		0.28999183		0.0091743763		1.64E-11		0.0347857262	
88	Coleoptera_Group_171	Pterostichus lachrymosus	Native	100	100	1	1	15	0.05461115979	0	0.002052224235	0	0.24468982	0	0	0	2.76E-10	1	0.00838704379	
89	Coleoptera_Group_172	Poecilus lucublandus	Native	100	100	1	3	8	0.08212263516	0.006444636607	0.01154014401	0.0005009554821	0.34406244	0.02580073	0.00950794913	0.00114492	9.05E-13	0.16947721	0.0335408422	0.01941632978
90	Coleoptera_Group_173	Pterostichus mutus	Native	100	100	1	1	16	0.07740851489	0.001373567725	0.009398346928	0	0.31958034	0.00482634	0.009543601668	0	2.80E-11	0.65708395	0.02940840143	0
91	Coleoptera_Group_174	Pterostichus adstrictus	Native	66	100	1	1	8	0.03191028303	0.0007392694964	0.002190483061	0	0.13272239	0.0030779	0.00492966698	0	1.12E-06	0.68323042	0.01650424665	0
92	Coleoptera_Group_175					0		1	0.09037037322		0.009103281		0.37185993		0.0138570347		1.63E-12		0.02448040315	
93	Coleoptera_Group_176	Notiobia terminata	Native	66	100	1	1	1	0.08326521108		0.0060545233		0.3722485		0.004576667		0		0.01626473525	
94	Coleoptera_Group_177	Harpalus pensylvanicus	Native	100	100	1	1	2	0.0624240079	0	0.013144927	0	0.24012565	0	0.0230957148	0	2.27E-09	1	0.05474186952	
95	Coleoptera_Group_178	Harpalus faunus	Native	100	100	1	1	1	0.0624240079		0.0068209236		0.24012565		0.01036363258		2.38E-10		0.02840564346	
96	Coleoptera_Group_179	Anisodactylus discoideus	Native	100	100	1	1	1	0.06282373929		0.0060545233		0.26396366		0.004576667		2.49E-10		0.02293695769	
97	Coleoptera_Group_18	Podabrus rugosulus	Native	66	50	1	1	2	0.1129961862	0.0015231133	0.0060261456	0	0.58721864	0.00632915	0	0	2.34E-13	0.31779923	0.01026218378	0
98	Coleoptera_Group_180	Trichotichnus autumnalis	Native	100	100	1	1	10	0.06282373929	0.002623708764	0.0068209236	0.001168448622	0.26396366	0.00710701	0.00564753335	0.00182557	4.00E-11	0.46307701	0.02584038879	0.1644079046
99	Coleoptera_Group_181	Agonum ferreum	Native	100	100	1	1	2	0.08877729445	0.0015231133	0.0040268553	0	0.4100142	0.00631583	0	0	1.74E-14	0.31780243	0.009821258142	0
100	Coleoptera_Group_182	Platynus cincticollis	Native	100	100	1	1	1	0.08387941665		0.0070517645		0.3526608		0.004587335263		9.28E-13		0.01999588415	
101	Coleoptera_Group_183	Agonum mutatum	Native	100	100	1	2	2	0.07310040829	0.0030495898	0.002015453	0	0.33970277	0.01250029	0	0	0	0.15731287	0.005932989596	0
102	Coleoptera_Group_184	Agonum moerens	Native	100	100	2	1	22	0.07310040829	0.01356801382	0.002385599264	0.0006279822545	0.33970277	0.05703203	0.0008321212727	0.00142649	0	0.11155015	0.007022607627	0.0110110451
103	Coleoptera_Group_184	Agonum mutatum	Native	100	100	2	2	22	0.07310040829	0.01356801382	0.002385599264	0.0006279822545	0.33970277	0.05703203	0.0008321212727	0.00142649	0	0.11155015	0.007022607627	0.0110110451
104	Coleoptera_Group_185	Sphaeroderus stenostomus	Native	100	100	1	2	64	0.04116335142	0.001918915275	6.33E-05	0.0001263681472	1.82E-01	0.00740168	0.0001430208438	0.00028543	5.03E-10	0.43585827	3.49E-04	0.01707290064
105	Coleoptera_Group_186	Cymindis cribricollis	Native	100	100	2	1	23	0.05275385471	0.003813501614	0.0001234922678	0	0.23807982	0.01594487	0	0	4.19E-10	0.31278888	0.0005187011139	0
106	Coleoptera_Group_186	Synuchus impunctatus	Native	100	100	2	3	23	0.05275385471	0.003813501614	0.0001234922678	0	0.23807982	0.01594487	0	0	4.19E-10	0.31278888	0.0005187011139	0
107	Coleoptera_Group_187	Pterostichus adoxus	Native	100	100	2	2	112	0.02723855723	0.002622599685	0.00169803603	0.0005775482406	0.11331895	0.00908891	0.0001228141091	0.00024461	2.27E-07	0.62317715	0.01498457257	0.06354427985
108	Coleoptera_Group_187	Pterostichus tristis	Native	100	100	2	1	112	0.02723855723	0.002622599685	0.00169803603	0.0005775482406	0.11331895	0.00908891	0.0001228141091	0.00024461	2.27E-07	0.62317715	0.01498457257	0.06354427985
109	Coleoptera_Group_188	Pterostichus coracinus	Native	100	100	1	3	34	0.05461115979	0.001377337321	0.002052224235	0	0.24468982	0.00574	0	0	2.68E-11	0.59538721	0.00838704379	0
110	Coleoptera_Group_189	Poecilus lucublandus	Native	100	100	3	3	48	0.03191028303	0.0005493875388	0.002190483061	0.000169080916	0.13272239	0.00172801	0.004793649427	0.00038357	1.79E-07	0.77443862	0.01650424665	0.09784718604
111	Coleoptera_Group_189	Pterostichus pensylvanicus	Native	100	100	3	1	48	0.03191028303	0.0005493875388	0.002190483061	0.000169080916	0.13272239	0.00172801	0.004793649427	0.00038357	1.79E-07	0.77443862	0.01650424665	0.09784718604
112	Coleoptera_Group_189	Synuchus impunctatus	Native	100	100	3	3	48	0.03191028303	0.0005493875388	0.002190483061	0.000169080916	0.13272239	0.00172801	0.004793649427	0.00038357	1.79E-07	0.77443862	0.01650424665	0.09784718604
113	Coleoptera_Group_19	Dichelonyx albicollis	Native	100	100	1	1	1	0.204628445		0.0333968216		0.95175094		0.0230957148		0		0.03508987509	
114	Coleoptera_Group_2	Dryophthorus americanus	Unknown	100		1	1	2	0.2769997855	0.0045835717	0.083904138	0	1.09796889	0.01879013	0.1160721713	0	0	0.08296107	0.07641759139	0
115	Coleoptera_Group_20	Myosides seriehispidus	Introduced	33	50	1	1	1	0.1934212622		0.038231417		0.85925985		0.0419641991		0		0.04449342885	
116	Coleoptera_Group_21	Tetartopeus furvulus	Native	66	50	1	1	1	0.2080005301		0.0406813723		0.78729204		0.037740328		0		0.05167253095	
117	Coleoptera_Group_22					0		1	0.2124220906		0.0361764924		0.95479663		0.0467374779		0		0.03788921249	
118	Coleoptera_Group_23					0		2	0.2134740879	0.0030483589	0.0422647024	0	0.93040105	0.01265853	0.0611544232	0	0	0.15728043	0.04542632707	0
119	Coleoptera_Group_24					0		2	0.1981816199	0.0091856196	0.01383605955	0	1.18637931	0.03735212	0.00687552165	0	0	0.01394118	0.01166242485	0
