Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,ML_Similarity,dS_Distance,AA_Similarity,Ztest_Similarity,dN/dS_Similarity,predict,prob. introduced,prob. native,ML_Distance,dN_Distance,dN_Similarity,dS_Similarity,AA_Distance,Ztest_Distance,dN/dS_Distance
1,Blattodea_Group_1,Reticulitermes sp,,,,1,1.0,15,0.00801753,1.68052374,0.0,0.37666183259999997,0.0,introduced,0.5348601678355455,0.465139832164455,0.9999999999999999,0.07230371492079077,0.0,0.012955217927944714,0.07146144662743467,0.0,0.022867986637765143
2,Blattodea_Group_2,Parcoblatta sp,,,,1,1.0,4,0.0,1.03258451,0.0,1.0,,introduced,0.7168457433305975,0.28315425666940275,0.801711300081858,0.10086458008660314,0.0,0.0,0.08872045794068724,0.0,0.0519188481886274
3,Blattodea_Group_3,Periplaneta americana,introduced,100.0,100.0,1,1.0,3,0.06970739,1.03258451,0.0,5.0600000000000003e-05,0.0,introduced,0.5939132785846729,0.40608672141532776,0.801711300081858,0.07230371492079077,0.0,0.12095281091294131,0.07146144662743467,0.0,0.037217481048908874
4,Coleoptera_Group_1,Trixagus carinicollis,native,100.0,100.0,1,1.0,3,0.0010158184,1.11160674,0.0,0.54522657,0.0,introduced,0.716573888426907,0.28342611157309344,0.4938322562408557,0.3905580820226135,0.0,0.003052673043067939,0.46577884590256935,0.0,0.18674390158088433
5,Coleoptera_Group_10,Lilioceris lilii,introduced,100.0,100.0,1,1.0,1,,0.87767344,,,,introduced,0.6652003300191456,0.3347996699808554,0.3696873290172368,0.15256568492604924,0.014755502862061018,0.02300575183692591,0.17423458587159568,0.0,0.0923923210142154
6,Coleoptera_Group_100,,,,,0,,1,,0.73154114,,,,introduced,0.6242362731301775,0.3757637268698232,0.29006022170428486,0.07010752504109366,0.014755502862061018,0.02300575183692591,0.057639229730441444,0.0,0.05093752639680204
7,Coleoptera_Group_101,Epuraea corticina,native,100.0,100.0,1,1.0,2,0.0138074975,0.72056033,0.0,0.00249068,0.0,introduced,0.6696371939703574,0.3303628060296437,0.2968772958785851,0.16006182109434322,0.0,0.04422953659918491,0.11224582709179971,0.0,0.11806723028088228
8,Coleoptera_Group_102,,,,,0,,2,0.0,0.59721618,0.0,1.0,,introduced,0.7253957242796911,0.27460427572030893,0.252073406372904,0.14454705817269867,0.0,0.0,0.1395864369145683,0.0,0.1286440375674688
9,Coleoptera_Group_103,,,,,0,,1,,0.70923221,,,,native,0.3458524070840119,0.6541475929159883,0.21368667182099965,0.04331332143895623,0.014755502862061018,0.02300575183692591,0.036894373791542215,0.0,0.03245973780796724
10,Coleoptera_Group_104,Bembidion concretum,native,100.0,100.0,1,1.0,1,,0.58333295,,,,native,0.39957436646632044,0.6004256335336804,0.19007311612196415,0.04331332143895623,0.014755502862061018,0.02300575183692591,0.036894373791542215,0.0,0.039465440075502005
