Number,Order_Group,Species Name,Final Status,Status Confidence,Count,predict,predict probability,1,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
1,Blattodea_Group_1,Reticulitermes sp,,,15.0,native,0.4905642604033943,0.5094357395966056,0.9999999999999999,0.05319969328426306,0.07230371492079077,0.0,0.6708331068290015,0.012955217927944714,0.07146144662743467,0.0,0.0,0.37666180862814663,0.022867986637765146,0.0
2,Blattodea_Group_2,Parcoblatta sp,,,4.0,introduced,0.7195731473952492,0.2804268526047509,0.801711300081858,0.0,0.10086458008660314,0.0,0.4013201359476053,0.0,0.08872045794068724,0.0,0.0,0.9999999999999999,0.05191884818862742,0.04521040754143754
3,Blattodea_Group_3,Periplaneta americana,introduced,100.0,3.0,native,0.49404816764688836,0.5059518323531116,0.801711300081858,0.4625379347063878,0.07230371492079077,0.0,0.4013201359476053,0.12095281091294131,0.07146144662743467,0.0,0.0,5.0520135278358506e-05,0.03721748104890889,0.0
4,Coleoptera_Group_1,Trixagus carinicollis,native,100.0,3.0,introduced,0.7021514204710182,0.29784857952898186,0.4938322562408557,0.006740383548612958,0.3905580820226135,0.0,0.43418975548426003,0.003052673043067938,0.46577884590256935,0.0,0.0,0.5452265524912222,0.18674390158088436,0.0
5,Coleoptera_Group_10,Lilioceris lilii,introduced,100.0,1.0,introduced,0.710544976855878,0.2894550231441223,0.3696873290172367,0.028340365028422902,0.15256568492604924,0.007561946084215351,0.3368842432511314,0.014237480097405995,0.17423458587159568,0.01128077503953735,0.0,0.5113155357508368,0.09239232101421542,0.04521040754143754
6,Coleoptera_Group_100,,,,1.0,introduced,0.5775000074422261,0.42249999255777393,0.2900602217042849,0.028340365028422902,0.07010752504109366,0.007561946084215351,0.2760999158154683,0.014237480097405995,0.05763922973044145,0.01128077503953735,0.0,0.5113155357508368,0.05093752639680205,0.04521040754143754
7,Coleoptera_Group_101,Epuraea corticina,native,100.0,2.0,introduced,0.528094878418508,0.47190512158149195,0.2968772958785851,0.09161856981180351,0.16006182109434325,0.0,0.2715324030168002,0.04422953659918491,0.11224582709179971,0.0,0.0,0.002490641595889701,0.11806723028088231,0.0
8,Coleoptera_Group_102,,,,2.0,introduced,0.726639491395493,0.273360508604507,0.252073406372904,0.0,0.14454705817269867,0.0,0.2202268997100463,0.0,0.13958643691456826,0.0,0.0,0.9999999999999999,0.12864403756746884,0.04521040754143754
9,Coleoptera_Group_103,,,,1.0,native,0.4693808059438343,0.5306191940561656,0.21368667182099965,0.028340365028422902,0.04331332143895623,0.007561946084215351,0.2668204252041572,0.014237480097405995,0.036894373791542215,0.01128077503953735,0.0,0.5113155357508368,0.032459737807967244,0.04521040754143754
10,Coleoptera_Group_104,Bembidion concretum,native,100.0,1.0,native,0.4932084551065663,0.5067915448934338,0.19007311612196415,0.028340365028422902,0.04331332143895623,0.007561946084215351,0.2144521134500297,0.014237480097405995,0.036894373791542215,0.01128077503953735,0.0,0.5113155357508368,0.03946544007550201,0.04521040754143754
11,Coleoptera_Group_105,,,,2.0,native,0.3371876720031895,0.6628123279968108,0.19007311612196415,0.13380449539209768,0.039840822717429655,0.0,0.2144521134500297,0.06420703237497946,0.02471082807331744,0.0,0.0,0.00026181151007974307,0.036301432215468304,0.0
12,Coleoptera_Group_106,Quedius laticollis,native,33.0,6.0,native,0.41459564885853,0.5854043511414699,0.24983539884938072,0.0996470337143127,0.08215391682785499,0.08948615309561736,0.2441368557329261,0.03455124440018599,0.06476792868085272,0.15873407316646904,0.0,0.2737770620404169,0.06669587552528199,0.18416069831314888
13,Coleoptera_Group_107,,,,2.0,native,0.3086574640463529,0.6913425359536477,0.24955756549144548,0.030374236462014332,0.02916222056672582,0.0,0.27900447329087885,0.013996328991931713,0.0,0.0,0.0,0.08295509469377114,0.020987849223487648,0.0
14,Coleoptera_Group_108,,,,1.0,introduced,0.5544372998804353,0.4455627001195645,0.23051117665545384,0.028340365028422902,0.0654599990897347,0.007561946084215351,0.2637276859402224,0.014237480097405995,0.049534743468119084,0.01128077503953735,0.0,0.5113155357508368,0.04957657350910849,0.04521040754143754
15,Coleoptera_Group_109,Cercyon praetextatus,native,100.0,3.0,introduced,0.5513752308418894,0.44862476915811056,0.26912445592928136,0.006740383548612958,0.06966900473625627,0.0,0.23775962237092424,0.003116673030651495,0.036894373791542215,0.0,0.0,0.5452058524904252,0.05791639154085437,0.0
16,Coleoptera_Group_11,,,,1.0,introduced,0.7038065682662403,0.29619343173376006,0.4213313058335771,0.028340365028422902,0.33668888613277137,0.007561946084215351,0.3037876999622842,0.014237480097405995,0.2930569461913487,0.01128077503953735,0.0,0.5113155357508368,0.2242231038746102,0.04521040754143754
17,Coleoptera_Group_110,,,,1.0,introduced,0.5059126520847788,0.4940873479152211,0.22478031296627748,0.028340365028422902,0.05824873617725329,0.007561946084215351,0.2328555236845526,0.014237480097405995,0.02471082807331744,0.01128077503953735,0.0,0.5113155357508368,0.04933232644934451,0.04521040754143754
18,Coleoptera_Group_111,Asaphidion curtum,introduced,100.0,1.0,introduced,0.5149126956084349,0.4850873043915649,0.2322664438166167,0.028340365028422902,0.061403535020500465,0.007561946084215351,0.23339662171823822,0.014237480097405995,0.036894373791542215,0.01128077503953735,0.0,0.5113155357508368,0.05189663241346228,0.04521040754143754
