Number,Order_Group,Species Name,Final Status,Status Confidence,Count,dN/dS_Distance,predict,predict probability,1,dN/dS_Similarity,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,predict_native
1,Blattodea_Group_1,Reticulitermes sp,,,15.0,0.01212228635,native,0.4402627888737477,0.5597372111262523,0.0,0.9999999999999999,0.05319969328426306,0.07230371492079077,0.0,0.6708331068290015,0.012955217927944714,0.07146144662743467,0.0,0.0,0.37666180862814663,0.022867986637765143,0.0
2,Blattodea_Group_2,Parcoblatta sp,,,4.0,0.027522105669999998,introduced,0.7018133254918953,0.29818667450810404,0.04521040754143754,0.801711300081858,0.0,0.10086458008660314,0.0,0.4013201359476053,0.0,0.08872045794068724,0.0,0.0,0.9999999999999999,0.0519188481886274,0.0
3,Blattodea_Group_3,Periplaneta americana,introduced,100.0,3.0,0.0197289324,introduced,0.5658842627857591,0.4341157372142406,0.0,0.801711300081858,0.4625379347063878,0.07230371492079077,0.0,0.4013201359476053,0.12095281091294131,0.07146144662743467,0.0,0.0,5.05201352783585e-05,0.037217481048908874,0.0
4,Coleoptera_Group_1,Trixagus carinicollis,native,100.0,3.0,0.09899266975,introduced,0.6202545960155009,0.37974540398449835,0.0,0.4938322562408557,0.006740383548612958,0.3905580820226135,0.0,0.43418975548426003,0.003052673043067939,0.46577884590256935,0.0,0.0,0.5452265524912222,0.18674390158088433,0.0
5,Coleoptera_Group_10,Lilioceris lilii,introduced,100.0,1.0,0.04897703456,introduced,0.6785238292651854,0.3214761707348139,0.04521040754143754,0.3696873290172368,0.028340365028422902,0.15256568492604924,0.0075619460842153525,0.3368842432511314,0.014237480097405998,0.17423458587159568,0.01128077503953735,0.0,0.5113155357508368,0.0923923210142154,0.0
6,Coleoptera_Group_100,,,,1.0,0.027001908419999998,introduced,0.7073131000578959,0.29268689994210334,0.04521040754143754,0.29006022170428486,0.028340365028422902,0.07010752504109366,0.0075619460842153525,0.2760999158154683,0.014237480097405998,0.057639229730441444,0.01128077503953735,0.0,0.5113155357508368,0.05093752639680204,0.0
7,Coleoptera_Group_101,Epuraea corticina,native,100.0,2.0,0.0625872665,introduced,0.5621907288182199,0.4378092711817799,0.0,0.2968772958785851,0.09161856981180351,0.16006182109434322,0.0,0.2715324030168002,0.04422953659918491,0.11224582709179971,0.0,0.0,0.002490641595889701,0.11806723028088228,0.0
8,Coleoptera_Group_102,,,,2.0,0.06819401661,introduced,0.7508008700921911,0.24919912990780854,0.04521040754143754,0.252073406372904,0.0,0.14454705817269867,0.0,0.2202268997100463,0.0,0.1395864369145683,0.0,0.0,0.9999999999999999,0.1286440375674688,0.0
9,Coleoptera_Group_103,,,,1.0,0.01720685965,introduced,0.5756839618335674,0.4243160381664324,0.04521040754143754,0.21368667182099965,0.028340365028422902,0.04331332143895623,0.0075619460842153525,0.2668204252041572,0.014237480097405998,0.036894373791542215,0.01128077503953735,0.0,0.5113155357508368,0.03245973780796724,0.0
10,Coleoptera_Group_104,Bembidion concretum,native,100.0,1.0,0.0209205722,introduced,0.5975651055142882,0.4024348944857117,0.04521040754143754,0.19007311612196415,0.028340365028422902,0.04331332143895623,0.0075619460842153525,0.2144521134500297,0.014237480097405998,0.036894373791542215,0.01128077503953735,0.0,0.5113155357508368,0.039465440075502005,1.0
11,Coleoptera_Group_105,,,,2.0,0.01924333625,native,0.39639002613457924,0.603609973865421,0.0,0.19007311612196415,0.13380449539209768,0.039840822717429655,0.0,0.2144521134500297,0.06420703237497946,0.02471082807331744,0.0,0.0,0.00026181151007974307,0.03630143221546829,1.0
12,Coleoptera_Group_106,Quedius laticollis,native,33.0,6.0,0.0353553863,native,0.4325738954812966,0.5674261045187035,0.18416069831314888,0.24983539884938072,0.0996470337143127,0.08215391682785499,0.0894861530956174,0.2441368557329261,0.03455124440018599,0.06476792868085272,0.15873407316646904,0.0,0.2737770620404169,0.06669587552528197,0.0
13,Coleoptera_Group_107,,,,2.0,0.01112562825,native,0.23730552838320818,0.7626944716167917,0.0,0.24955756549144548,0.030374236462014332,0.02916222056672582,0.0,0.27900447329087885,0.013996328991931713,0.0,0.0,0.0,0.08295509469377114,0.020987849223487644,0.0
14,Coleoptera_Group_108,,,,1.0,0.026280469280000003,introduced,0.6956466237361563,0.30435337626384257,0.04521040754143754,0.23051117665545384,0.028340365028422902,0.0654599990897347,0.0075619460842153525,0.2637276859402224,0.014237480097405998,0.049534743468119084,0.01128077503953735,0.0,0.5113155357508368,0.04957657350910848,0.0
15,Coleoptera_Group_109,Cercyon praetextatus,native,100.0,3.0,0.030701394649999998,introduced,0.6795754333962837,0.3204245666037154,0.0,0.26912445592928136,0.006740383548612958,0.06966900473625627,0.0,0.23775962237092424,0.0031166730306514943,0.036894373791542215,0.0,0.0,0.5452058524904252,0.05791639154085435,0.0
16,Coleoptera_Group_11,,,,1.0,0.1188603402,introduced,0.6437634279916599,0.3562365720083397,0.04521040754143754,0.4213313058335771,0.028340365028422902,0.33668888613277137,0.0075619460842153525,0.3037876999622842,0.014237480097405998,0.2930569461913487,0.01128077503953735,0.0,0.5113155357508368,0.22422310387461014,0.0
17,Coleoptera_Group_110,,,,1.0,0.02615099427,introduced,0.631051400857636,0.3689485991423637,0.04521040754143754,0.22478031296627748,0.028340365028422902,0.05824873617725329,0.0075619460842153525,0.2328555236845526,0.014237480097405998,0.02471082807331744,0.01128077503953735,0.0,0.5113155357508368,0.049332326449344495,0.0
18,Coleoptera_Group_111,Asaphidion curtum,introduced,100.0,1.0,0.02751032912,introduced,0.6585175006474554,0.3414824993525439,0.04521040754143754,0.23226644381661665,0.028340365028422902,0.061403535020500465,0.0075619460842153525,0.23339662171823822,0.014237480097405998,0.036894373791542215,0.01128077503953735,0.0,0.5113155357508368,0.05189663241346227,0.0
19,Coleoptera_Group_112,,,,1.0,0.024769407090000004,introduced,0.6270069652989743,0.37299303470102557,0.04521040754143754,0.22478031296627748,0.028340365028422902,0.05419744365862955,0.0075619460842153525,0.22824730977846625,0.014237480097405998,0.036894373791542215,0.01128077503953735,0.0,0.5113155357508368,0.04672604276168458,0.0
20,Coleoptera_Group_113,,,,1.0,0.049040533719999994,introduced,0.6961183616003704,0.3038816383996282,0.04521040754143754,0.2318261497030571,0.028340365028422902,0.0988376953312474,0.0075619460842153525,0.20801320657554032,0.014237480097405998,0.06888276879857921,0.01128077503953735,0.0,0.5113155357508368,0.09251210847843325,0.0
21,Coleoptera_Group_114,,,,1.0,0.02224014113,introduced,0.6232582646235719,0.3767417353764278,0.04521040754143754,0.22838819707466473,0.028340365028422902,0.05235907592465039,0.0075619460842153525,0.24772300389446578,0.014237480097405998,0.036894373791542215,0.01128077503953735,0.0,0.5113155357508368,0.04195472994934251,0.0
22,Coleoptera_Group_115,,,,1.0,0.0190961505,introduced,0.643340354476939,0.35665964552306045,0.04521040754143754,0.19342860693446123,0.028340365028422902,0.03732140801422716,0.0075619460842153525,0.2008602105221002,0.014237480097405998,0.051193901392492705,0.01128077503953735,0.0,0.5113155357508368,0.03602377487698532,1.0
23,Coleoptera_Group_116,Enochrus ochraceus,native,100.0,6.0,0.02577371357,native,0.4391547335042742,0.5608452664957263,0.0,0.24955756549144548,0.23322007497761205,0.06521257416373492,0.0,0.2683421724339415,0.11792332206978895,0.012241667510788874,0.0,0.0,0.009189651853801595,0.04862060839903737,0.0
24,Coleoptera_Group_117,Sphaeroderus canadensis,native,100.0,45.0,0.0006543550382999999,native,0.20066575210392298,0.7993342478960773,0.16486501812588591,0.1277061258061828,0.008783585797861693,0.0010368664112932427,0.00702649960337632,0.15751727470842045,0.003030507193709731,0.0013601852790954216,0.012319082230099487,0.0,0.5910889242569235,0.001234402639911133,1.0
25,Coleoptera_Group_118,Sphaeroderus stenostomus,native,100.0,2.0,0.00034880722500000005,native,0.08053022369102754,0.9194697763089726,0.04521040754143754,0.04008290971237273,0.0,0.00022474736402958054,0.0,0.047325629644571925,0.0,0.00038255210984589234,0.0,1.9941708851050772e-09,0.9999999999999999,0.0006580044993291171,1.0
26,Coleoptera_Group_119,Dineutus nigrior,native,100.0,2.0,0.042118524670000004,native,0.49052198419984466,0.5094780158001553,0.0,0.20347293799001864,0.05080234126876696,0.0802534884989937,0.0,0.19512062645647107,0.02413758416731468,0.06177641097890796,0.0,0.0,0.02483809245626656,0.07945414186292848,1.0
27,Coleoptera_Group_12,Cryptarcha ampla,native,100.0,1.0,0.06376922574,introduced,0.6780268207610735,0.32197317923892593,0.04521040754143754,0.3459518707851751,0.028340365028422902,0.17824144099367853,0.0075619460842153525,0.29938796640417037,0.014237480097405998,0.1483288663286772,0.01128077503953735,0.0,0.5113155357508368,0.12029692749527807,0.0
28,Coleoptera_Group_120,Brachinus fulminatus,native,100.0,2.0,0.03883743022,native,0.4092008343528726,0.590799165647128,0.0598722676513877,0.20482076136999655,0.31346909539029283,0.07511909007243134,0.11469150830368659,0.19849270384710818,0.1362104302525084,0.0633076599014652,0.11422501554417112,0.0,4.185000161122506e-07,0.07326454842539634,1.0
29,Coleoptera_Group_121,Notiophilus aeneus,native,100.0,16.0,0.02616208972,native,0.4338523201965202,0.5661476798034796,0.05273795667426287,0.20375234977076917,0.026793863595103377,0.055430435449157635,0.008240616886797296,0.22011988720206982,0.011110695173135282,0.032337579729426365,0.01435896138779265,0.0,0.3636541455006846,0.04935325736905834,0.0
30,Coleoptera_Group_122,Platynus decentis,native,100.0,8.0,0.01143429714,native,0.2352774347901152,0.7647225652098847,0.0,0.19759280719251415,0.02978248597006416,0.025111607632655734,0.0,0.22919489062464404,0.014003234449360882,0.012270202977442586,0.0,0.0,0.29931022302344357,0.02157013509334864,1.0
31,Coleoptera_Group_123,,,,1.0,0.0549440361,native,0.4973925167710628,0.5026074832289371,0.04521040754143754,0.14754578503784305,0.028340365028422902,0.07914356992365792,0.0075619460842153525,0.1406266187763197,0.014237480097405998,0.036894373791542215,0.01128077503953735,0.0,0.5113155357508368,0.10364872162582478,1.0
32,Coleoptera_Group_124,Dyschirius dejeanii,native,100.0,1.0,0.0549440361,native,0.4973925167710628,0.5026074832289371,0.04521040754143754,0.14754578503784305,0.028340365028422902,0.07914356992365792,0.0075619460842153525,0.1406266187763197,0.014237480097405998,0.036894373791542215,0.01128077503953735,0.0,0.5113155357508368,0.10364872162582478,1.0
33,Coleoptera_Group_125,Bembidion immaturum,native,100.0,1.0,0.022857350180000003,introduced,0.5772576264454541,0.42274237355454586,0.04521040754143754,0.18989481551331533,0.028340365028422902,0.039840822717429655,0.0075619460842153525,0.17608794008134787,0.014237480097405998,0.02471082807331744,0.01128077503953735,0.0,0.5113155357508368,0.04311905884742268,1.0
34,Coleoptera_Group_126,Carabus goryi,native,100.0,16.0,0.01110769775,native,0.4166229775105344,0.5833770224894654,0.02057359587920624,0.22406157165375123,0.022413020124172626,0.02939797184320859,0.002874135427989047,0.28198774591772363,0.009933489362032448,0.01965716499263882,0.005007564680323426,0.0,0.47134613964682637,0.020954024380337617,0.0
36,Coleoptera_Group_127,Clivina americana,native,66.0,2.0,0.03205315093,introduced,0.550398794072762,0.4496012059272378,0.04521040754143754,0.1751444274761756,0.0,0.05783050676409876,0.0,0.18325876392695914,0.0,0.0,0.0,0.0,0.9999999999999999,0.06046640097439287,1.0
37,Coleoptera_Group_128,,,,1.0,0.01744633691,introduced,0.5570974964904534,0.44290250350954663,0.04521040754143754,0.18920978412523748,0.028340365028422902,0.03921736483821427,0.0075619460842153525,0.23525627756972284,0.014237480097405998,0.025363925029965116,0.01128077503953735,0.0,0.5113155357508368,0.032911497700747576,0.0
38,Coleoptera_Group_129,Calosoma frigidum,native,100.0,1.0,0.013488982319999999,introduced,0.5318621535797313,0.46813784642026873,0.04521040754143754,0.18243555487446383,0.028340365028422902,0.02885563006362031,0.0075619460842153525,0.222518748496144,0.014237480097405998,0.024652706280753348,0.01128077503953735,0.0,0.5113155357508368,0.0254461789257115,1.0
39,Coleoptera_Group_13,Judolia cordifera,native,100.0,1.0,0.0526903881,introduced,0.6724975695713913,0.32750243042860794,0.04521040754143754,0.3447415615683001,0.028340365028422902,0.16480200667379186,0.0075619460842153525,0.3383723897097634,0.014237480097405998,0.17670195084108678,0.01128077503953735,0.0,0.5113155357508368,0.09939734603031047,0.0
40,Coleoptera_Group_130,Carabus nemoralis,introduced,100.0,17.0,0.012393247820000002,introduced,0.5131010900277337,0.48689890997226626,0.04521040754143754,0.17300197972675524,0.0,0.025528914301484535,0.0,0.21322568530297237,0.0,0.012651826482961781,0.0,0.0,0.9999999999999999,0.023379139657616815,1.0
41,Coleoptera_Group_131,Carabus serratus,native,100.0,18.0,0.012393247820000002,native,0.46090297079390635,0.5390970292060935,0.0,0.17300197972675524,0.011045209736393271,0.025528914301484535,0.0,0.21322568530297237,0.0050777634748088146,0.012651826482961781,0.0,0.0,0.5378797922083719,0.023379139657616815,1.0
42,Coleoptera_Group_132,Habrocerus capillaricornis,introduced,100.0,1.0,0.05410494032,introduced,0.7032553561050146,0.2967446438949845,0.04521040754143754,0.24591991241819183,0.028340365028422902,0.1159460823453571,0.0075619460842153525,0.22296235937044667,0.014237480097405998,0.06888276879857921,0.01128077503953735,0.0,0.5113155357508368,0.10206581634452486,0.0
43,Coleoptera_Group_133,,,,2.0,0.04283876566000001,introduced,0.5974691178738784,0.40253088212612137,0.0,0.18844146048306248,0.010106499183312283,0.07449369411283277,0.0,0.17560880256846986,0.004704593744651175,0.06177641097890796,0.0,0.0,0.3177992037352693,0.08081283451048261,1.0
44,Coleoptera_Group_134,Trechus apicalis,native,66.0,2.0,0.03689628442,introduced,0.507381664526817,0.4926183354731831,0.0,0.18961296661196647,0.010106499183312283,0.06954141089515457,0.0,0.19270177024943214,0.004764914290439858,0.036894373791542215,0.0,0.0,0.3177796937345182,0.06960269001562912,1.0
45,Coleoptera_Group_135,,,,3.0,0.04732868557,introduced,0.7513618587087109,0.24863814129128883,0.04521040754143754,0.18844146048306248,0.0,0.08230135886795706,0.0,0.17560880256846986,0.0,0.05257564032631808,0.0,0.0,0.9999999999999999,0.08928280672051175,1.0
46,Coleoptera_Group_136,Tachys scitulus,native,100.0,1.0,0.018140968700000003,introduced,0.639217609773119,0.3607823902268804,0.04521040754143754,0.19342860693446123,0.028340365028422902,0.03732140801422716,0.0075619460842153525,0.21292033340766572,0.014237480097405998,0.04965208572722334,0.01128077503953735,0.0,0.5113155357508368,0.034221880085163615,1.0
