,Number,Order_Group,Species Name,Final Status,Status Confidence,Count,dN/dS_Similarity,predict,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance
0,1,Blattodea_Group_1,Reticulitermes sp,,,15.0,0.0,native,0.57785531,0.00801753,0.02037179,0.0,1.68052374,0.01742882,0.02671656,0.0,0.0,0.376661832626667,0.01212228635
1,2,Blattodea_Group_2,Parcoblatta sp,,,4.0,,native,0.46699162,0.0,0.0284189,0.0,1.03258451,0.0,0.03316901,0.0,0.0,1.0,0.02752210567
2,3,Blattodea_Group_3,Periplaneta americana,introduced,100.0,3.0,0.0,native,0.46699162,0.06970739,0.02037179,0.0,1.03258451,0.16271936,0.02671656,0.0,0.0,5.05586333333333e-05,0.0197289324
3,4,Coleoptera_Group_1,Trixagus carinicollis,native,100.0,3.0,0.0,introduced,0.2948557046,0.0010158184,0.1100409189,0.0,1.11160674,0.0041068,0.1741359722,0.0,0.0,0.54522657,0.09899266975
4,5,Coleoptera_Group_10,Lilioceris lilii,introduced,100.0,1.0,,native,0.2254459766,,0.0429858424,,0.87767344,,0.0651393022,,0.0,,0.04897703456
5,6,Coleoptera_Group_100,,,,1.0,,native,0.180926269,,0.01975300687,,0.73154114,,0.02154898917,,0.0,,0.02700190842
6,7,Coleoptera_Group_101,Epuraea corticina,native,100.0,2.0,0.0,native,0.1847377116,0.0138074975,0.0450979014,0.0,0.72056033,0.05950256,0.0419641991,0.0,0.0,0.00249068,0.0625872665
7,8,Coleoptera_Group_102,,,,2.0,,native,0.159687749,0.0,0.0407265701,0.0,0.59721618,0.0,0.0521857532,0.0,0.0,1.0,0.06819401661
8,9,Coleoptera_Group_103,,,,1.0,,native,0.1382256332,,0.0122036591,,0.70923221,,0.0137933221,,0.0,,0.01720685965
9,10,Coleoptera_Group_104,Bembidion concretum,native,100.0,1.0,,native,0.1250232373,,0.0122036591,,0.58333295,,0.0137933221,,0.0,,0.0209205722
10,11,Coleoptera_Group_105,,,,2.0,0.0,native,0.1250232373,0.0201651831,0.0112252721,0.0,0.58333295,0.08637854,0.0092383845,0.0,0.0,0.00026185,0.01924333625
11,12,Coleoptera_Group_106,Quedius laticollis,native,33.0,6.0,0.119491815,native,0.1584364736,0.01501743775,0.02314711413,0.005554246027,0.65469838,0.04648223,0.02421412292,0.01274928,0.0,0.27377709,0.0353553863
12,13,Coleoptera_Group_107,,,,2.0,0.0,native,0.1582811363,0.0045775894,0.0082165437,0.0,0.73852402,0.01882944,0.0,0.0,0.0,0.08295513,0.01112562825
13,14,Coleoptera_Group_108,,,,1.0,,native,0.1476322544,,0.0184435524,,0.70179692,,0.0185190478,,0.0,,0.02628046928
14,15,Coleoptera_Group_109,Cercyon praetextatus,native,100.0,3.0,0.0,native,0.1692210319,0.0010158184,0.01962945245,0.0,0.6393668,0.0041929,0.0137933221,0.0,0.0,0.54520587,0.03070139465
15,16,Coleoptera_Group_11,,,,1.0,,introduced,0.2543202485,,0.0948631103,,0.79810566,,0.1095622025,,0.0,,0.1188603402
16,17,Coleoptera_Group_110,,,,1.0,,native,0.1444281147,,0.0164117573,,0.6275768,,0.0092383845,,0.0,,0.02615099427
17,18,Coleoptera_Group_111,Asaphidion curtum,introduced,100.0,1.0,,native,0.1486136285,,0.0173006314,,0.62887766,,0.0137933221,,0.0,,0.02751032912
18,19,Coleoptera_Group_112,,,,1.0,,native,0.1444281147,,0.0152702934,,0.61649814,,0.0137933221,,0.0,,0.02476940709
19,20,Coleoptera_Group_113,,,,1.0,,native,0.148367459,,0.0278478191,,0.5678531,,0.0257524961,,0.0,,0.04904053372
20,21,Coleoptera_Group_114,,,,1.0,,native,0.1464452914,,0.01475232774,,0.66331988,,0.0137933221,,0.0,,0.02224014113
21,22,Coleoptera_Group_115,,,,1.0,,native,0.1268993003,,0.0105154194,,0.5506565,,0.0191393402,,0.0,,0.0190961505
