Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,predict,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
1,Blattodea_Group_1,Reticulitermes sp,,,,1,1.0,15,native,0.57785531,0.00801753,0.02037179,0.0,1.68052374,0.01742882,0.02671656,0.0,0.0,0.37666183259999997,0.01212228635,0.0
2,Blattodea_Group_2,Parcoblatta sp,,,,1,1.0,4,introduced,0.46699162,0.0,0.0284189,0.0,1.03258451,0.0,0.03316901,0.0,0.0,1.0,0.027522105669999998,
3,Blattodea_Group_3,Periplaneta americana,introduced,100.0,100.0,1,1.0,3,native,0.46699162,0.06970739,0.02037179,0.0,1.03258451,0.16271936,0.02671656,0.0,0.0,5.0600000000000003e-05,0.0197289324,0.0
4,Coleoptera_Group_1,Trixagus carinicollis,native,100.0,100.0,1,1.0,3,native,0.2948557046,0.0010158184,0.1100409189,0.0,1.11160674,0.004106800000000001,0.1741359722,0.0,0.0,0.54522657,0.09899266975,0.0
5,Coleoptera_Group_10,Lilioceris lilii,introduced,100.0,100.0,1,1.0,1,native,0.22544597660000001,,0.0429858424,,0.87767344,,0.0651393022,,0.0,,0.04897703456,
6,Coleoptera_Group_100,,,,,0,,1,native,0.18092626899999997,,0.01975300687,,0.73154114,,0.021548989169999998,,0.0,,0.027001908419999998,
7,Coleoptera_Group_101,Epuraea corticina,native,100.0,100.0,1,1.0,2,native,0.1847377116,0.0138074975,0.045097901399999994,0.0,0.72056033,0.05950256,0.0419641991,0.0,0.0,0.00249068,0.0625872665,0.0
8,Coleoptera_Group_102,,,,,0,,2,introduced,0.159687749,0.0,0.0407265701,0.0,0.59721618,0.0,0.052185753200000004,0.0,0.0,1.0,0.06819401661,
9,Coleoptera_Group_103,,,,,0,,1,native,0.1382256332,,0.0122036591,,0.70923221,,0.0137933221,,0.0,,0.01720685965,
10,Coleoptera_Group_104,Bembidion concretum,native,100.0,100.0,1,1.0,1,native,0.1250232373,,0.0122036591,,0.58333295,,0.0137933221,,0.0,,0.0209205722,
11,Coleoptera_Group_105,,,,,0,,2,native,0.1250232373,0.0201651831,0.0112252721,0.0,0.58333295,0.08637854,0.0092383845,0.0,0.0,0.00026185,0.01924333625,0.0
12,Coleoptera_Group_106,Quedius laticollis,native,33.0,50.0,1,1.0,6,native,0.1584364736,0.01501743775,0.02314711413,0.005554246027000001,0.65469838,0.04648223,0.024214122919999997,0.01274928,0.0,0.27377709,0.0353553863,0.119491815
13,Coleoptera_Group_107,,,,,0,,2,native,0.1582811363,0.0045775894,0.0082165437,0.0,0.73852402,0.01882944,0.0,0.0,0.0,0.08295513,0.01112562825,0.0
14,Coleoptera_Group_108,,,,,0,,1,native,0.1476322544,,0.0184435524,,0.70179692,,0.0185190478,,0.0,,0.026280469280000003,
15,Coleoptera_Group_109,Cercyon praetextatus,native,100.0,100.0,1,1.0,3,native,0.1692210319,0.0010158184,0.01962945245,0.0,0.6393668,0.004192899999999999,0.0137933221,0.0,0.0,0.54520587,0.030701394649999998,0.0
16,Coleoptera_Group_11,,,,,0,,1,native,0.2543202485,,0.0948631103,,0.79810566,,0.1095622025,,0.0,,0.1188603402,
17,Coleoptera_Group_110,,,,,0,,1,native,0.1444281147,,0.0164117573,,0.6275768,,0.0092383845,,0.0,,0.02615099427,
18,Coleoptera_Group_111,Asaphidion curtum,introduced,100.0,100.0,1,1.0,1,native,0.14861362849999998,,0.0173006314,,0.62887766,,0.0137933221,,0.0,,0.02751032912,
19,Coleoptera_Group_112,,,,,0,,1,native,0.1444281147,,0.015270293400000001,,0.61649814,,0.0137933221,,0.0,,0.024769407090000004,
