Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,predict,predict prob,1,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
1,Blattodea_Group_1,Reticulitermes sp,,,,1,1.0,15,native,0.49375653577603834,0.5062434642239617,1.0,0.11501693005576598,0.07230371492079077,0.0,0.6708331068290015,0.07785250476460105,0.07146144662743467,0.0,0.0,0.3766618086014797,0.022867986637765143,0.0
2,Blattodea_Group_2,Parcoblatta sp,,,,1,1.0,4,introduced,0.6828987236917964,0.317101276308203,0.8017113000818582,0.0,0.10086458008660314,0.0,0.4013201359476053,0.0,0.08872045794068724,0.0,0.0,1.0,0.0519188481886274,0.04745380300671628
3,Blattodea_Group_3,Periplaneta americana,introduced,100.0,100.0,1,1.0,3,introduced,0.5699906932227025,0.4300093067772973,0.8017113000818582,1.0,0.07230371492079077,0.0,0.4013201359476053,0.7268483896037043,0.07146144662743467,0.0,0.0,5.056150194661784e-05,0.037217481048908874,0.0
4,Coleoptera_Group_1,Trixagus carinicollis,native,100.0,100.0,1,1.0,3,introduced,0.6785438483276468,0.3214561516723533,0.4938322562408558,0.01457260700766447,0.3905580820226135,0.0,0.43418975548426003,0.018344596281748487,0.46577884590256935,0.0,0.0,0.5452265524912223,0.18674390158088433,0.0
5,Coleoptera_Group_10,Lilioceris lilii,introduced,100.0,100.0,1,1.0,1,introduced,0.6413662610261133,0.35863373897388734,0.36968732901723683,0.05037945131056341,0.15256568492604924,0.041723175312406005,0.3368842432511314,0.06532519391654028,0.17423458587159568,0.03820208068461324,0.0,0.5321156457992706,0.0923923210142154,0.04745380300671628
6,Coleoptera_Group_100,,,,,0,,1,introduced,0.5847729276642647,0.41522707233573486,0.2900602217042849,0.05037945131056341,0.07010752504109366,0.041723175312406005,0.2760999158154683,0.06532519391654028,0.057639229730441444,0.03820208068461324,0.0,0.5321156457992706,0.05093752639680204,0.04745380300671628
7,Coleoptera_Group_101,Epuraea corticina,native,100.0,100.0,1,1.0,2,introduced,0.6607990394352826,0.3392009605647175,0.29687729587858513,0.19807795844888185,0.16006182109434322,0.0,0.2715324030168002,0.26579099077883417,0.11224582709179971,0.0,0.0,0.0024906415958897013,0.11806723028088228,0.0
8,Coleoptera_Group_102,,,,,0,,2,introduced,0.7018175580326688,0.2981824419673312,0.25207340637290404,0.0,0.14454705817269867,0.0,0.2202268997100463,0.0,0.1395864369145683,0.0,0.0,1.0,0.1286440375674688,0.04745380300671628
9,Coleoptera_Group_103,,,,,0,,1,native,0.49594352613375076,0.5040564738662492,0.2136866718209997,0.05037945131056341,0.04331332143895623,0.041723175312406005,0.2668204252041572,0.06532519391654028,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992706,0.03245973780796724,0.04745380300671628
10,Coleoptera_Group_104,Bembidion concretum,native,100.0,100.0,1,1.0,1,introduced,0.5037410531907633,0.49625894680923677,0.1900731161219642,0.05037945131056341,0.04331332143895623,0.041723175312406005,0.2144521134500297,0.06532519391654028,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992706,0.039465440075502005,0.04745380300671628
11,Coleoptera_Group_105,,,,,0,,2,native,0.4859388940030198,0.5140611059969802,0.1900731161219642,0.2892832897631084,0.039840822717429655,0.0,0.2144521134500297,0.3858428566540525,0.02471082807331744,0.0,0.0,0.0002618115100797431,0.03630143221546829,0.0
12,Coleoptera_Group_106,Quedius laticollis,native,33.0,50.0,1,1.0,6,introduced,0.6139191502102156,0.38608084978978474,0.24983539884938077,0.2154353756466854,0.08215391682785499,0.6549308694134656,0.2441368557329261,0.20763069631474088,0.06476792868085272,0.6501924933459877,0.0,0.27377706204041696,0.06669587552528197,0.18416069831314888
13,Coleoptera_Group_107,,,,,0,,2,native,0.219819204140548,0.780180795859451,0.24955756549144553,0.06566863857619688,0.02916222056672582,0.0,0.27900447329087885,0.08410891083359456,0.0,0.0,0.0,0.08295509469377116,0.020987849223487644,0.0
14,Coleoptera_Group_108,,,,,0,,1,introduced,0.5254509153590948,0.4745490846409053,0.2305111766554539,0.05037945131056341,0.0654599990897347,0.041723175312406005,0.2637276859402224,0.06532519391654028,0.049534743468119084,0.03820208068461324,0.0,0.5321156457992706,0.04957657350910848,0.04745380300671628
15,Coleoptera_Group_109,Cercyon praetextatus,native,100.0,100.0,1,1.0,3,introduced,0.6527169083744112,0.3472830916255895,0.2691244559292814,0.01457260700766447,0.06966900473625627,0.0,0.23775962237092424,0.01872919493273186,0.036894373791542215,0.0,0.0,0.5452058524904253,0.05791639154085435,0.0
16,Coleoptera_Group_11,,,,,0,,1,introduced,0.643524325560553,0.3564756744394477,0.4213313058335772,0.05037945131056341,0.33668888613277137,0.041723175312406005,0.3037876999622842,0.06532519391654028,0.2930569461913487,0.03820208068461324,0.0,0.5321156457992706,0.22422310387461014,0.04745380300671628
17,Coleoptera_Group_110,,,,,0,,1,native,0.4733101309928247,0.5266898690071752,0.22478031296627754,0.05037945131056341,0.05824873617725329,0.041723175312406005,0.2328555236845526,0.06532519391654028,0.02471082807331744,0.03820208068461324,0.0,0.5321156457992706,0.049332326449344495,0.04745380300671628
18,Coleoptera_Group_111,Asaphidion curtum,introduced,100.0,100.0,1,1.0,1,introduced,0.5764308823282537,0.4235691176717461,0.2322664438166167,0.05037945131056341,0.061403535020500465,0.041723175312406005,0.23339662171823822,0.06532519391654028,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992706,0.05189663241346227,0.04745380300671628
