Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,dN/dS_Distance,dN/dS_Similarity,predict,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance
1,Blattodea_Group_1,Reticulitermes sp,,,,1,1.0,15,0.01212228635,0.0,introduced,0.9999999999999999,0.11501693005576598,0.07230371492079077,0.0,0.6708331068290015,0.07785250476460105,0.07146144662743467,0.0,0.0,0.3766618086014796,0.022867986637765143
2,Blattodea_Group_2,Parcoblatta sp,,,,1,1.0,4,0.027522105669999998,,introduced,0.801711300081858,0.0,0.10086458008660314,0.0,0.4013201359476053,0.0,0.08872045794068724,0.0,0.0,0.9999999999999999,0.0519188481886274
3,Blattodea_Group_3,Periplaneta americana,introduced,100.0,100.0,1,1.0,3,0.0197289324,0.0,introduced,0.801711300081858,1.0,0.07230371492079077,0.0,0.4013201359476053,0.7268483896037043,0.07146144662743467,0.0,0.0,5.056150194661783e-05,0.037217481048908874
4,Coleoptera_Group_1,Trixagus carinicollis,native,100.0,100.0,1,1.0,3,0.09899266975,0.0,introduced,0.4938322562408557,0.01457260700766447,0.3905580820226135,0.0,0.43418975548426003,0.018344596281748487,0.46577884590256935,0.0,0.0,0.5452265524912222,0.18674390158088433
5,Coleoptera_Group_10,Lilioceris lilii,introduced,100.0,100.0,1,1.0,1,0.04897703456,,introduced,0.3696873290172368,0.050379451310563414,0.15256568492604924,0.041723175312406005,0.3368842432511314,0.06532519391654026,0.17423458587159568,0.03820208068461324,0.0,0.5321156457992704,0.0923923210142154
6,Coleoptera_Group_100,,,,,0,,1,0.027001908419999998,,introduced,0.29006022170428486,0.050379451310563414,0.07010752504109366,0.041723175312406005,0.2760999158154683,0.06532519391654026,0.057639229730441444,0.03820208068461324,0.0,0.5321156457992704,0.05093752639680204
7,Coleoptera_Group_101,Epuraea corticina,native,100.0,100.0,1,1.0,2,0.0625872665,0.0,introduced,0.2968772958785851,0.19807795844888185,0.16006182109434322,0.0,0.2715324030168002,0.26579099077883417,0.11224582709179971,0.0,0.0,0.002490641595889701,0.11806723028088228
8,Coleoptera_Group_102,,,,,0,,2,0.06819401661,,introduced,0.252073406372904,0.0,0.14454705817269867,0.0,0.2202268997100463,0.0,0.1395864369145683,0.0,0.0,0.9999999999999999,0.1286440375674688
9,Coleoptera_Group_103,,,,,0,,1,0.01720685965,,introduced,0.21368667182099965,0.050379451310563414,0.04331332143895623,0.041723175312406005,0.2668204252041572,0.06532519391654026,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992704,0.03245973780796724
10,Coleoptera_Group_104,Bembidion concretum,native,100.0,100.0,1,1.0,1,0.0209205722,,introduced,0.19007311612196415,0.050379451310563414,0.04331332143895623,0.041723175312406005,0.2144521134500297,0.06532519391654026,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992704,0.039465440075502005
11,Coleoptera_Group_105,,,,,0,,2,0.01924333625,0.0,native,0.19007311612196415,0.2892832897631084,0.039840822717429655,0.0,0.2144521134500297,0.3858428566540525,0.02471082807331744,0.0,0.0,0.00026181151007974307,0.03630143221546829
12,Coleoptera_Group_106,Quedius laticollis,native,33.0,50.0,1,1.0,6,0.0353553863,0.119491815,introduced,0.24983539884938072,0.2154353756466854,0.08215391682785499,0.6549308694134656,0.2441368557329261,0.20763069631474088,0.06476792868085272,0.6501924933459877,0.0,0.2737770620404169,0.06669587552528197
13,Coleoptera_Group_107,,,,,0,,2,0.01112562825,0.0,native,0.24955756549144548,0.06566863857619688,0.02916222056672582,0.0,0.27900447329087885,0.08410891083359456,0.0,0.0,0.0,0.08295509469377114,0.020987849223487644
