,Group,Species,N,Status,Regions,Group2,predict,MLdistance,MLsimilarity,AAdistance,AAsimilarity,ZtestDistance,ZtestSimilarity,Nsdistance,Nssimilarity,PatristicDistance,PatristicSimilarity
0,Group_1,Camponotus pennsylvanicus,9,native,nearctic / palearctic ,group_1,native,0.05651759,0.00837729,0.00917438,0.00466869,0.0,0.36847236,0.0039907,0.00203503,0.06016667,0.0145
1,Group_10,Sirex noctilio,10,introduced,nearctic / palearctic,group_10,introduced,0.09328402,0.0,0.05635294,0.0,0.0,1.0,0.0341196,0.0,0.1005,0.001
2,Group_100,,1,,,group_100,introduced,0.18558096,,0.17754828,,0.0,,0.10467097,,0.184,
3,Group_101,,2,,,group_101,native,0.13824061,0.0045780000000000005,0.07539802,0.0,0.0,0.08264548,0.05299317,0.0,0.1125,0.005
4,Group_102,Vespula maculifrons,4,native,nearctic,group_102,native,0.20299193,0.00527407,0.18238212,0.0,0.0,0.08813235,0.10413454,0.0,0.1355,0.00966667
5,Group_103,Pimpla aequalis,3,native,nearctic,group_103,introduced,0.17022094,0.00305017,0.12638154,0.0,0.0,0.18576327,0.08113238,0.0,0.16399999999999998,0.003
6,Group_104,,1,,,group_104,native,0.10020192,,0.06606175,,0.0,,0.03505311,,0.099,
7,Group_105,,2,,,group_105,introduced,0.23852297,0.0,0.24409892,0.0,0.0,1.0,0.15940184,0.0,0.243,0.0
8,Group_106,Glyptapanteles sp.,1,,,group_106,native,0.13598670000000002,,0.1008047,,0.0,,0.05118317,,0.10800000000000001,
9,Group_107,,1,,,group_107,native,0.13379856,,0.10379679,,0.0,,0.06022241,,0.099,
10,Group_108,,1,,,group_108,introduced,0.19867931,,0.16871589999999997,,0.0,,0.1008227,,0.18600000000000003,
11,Group_109,,1,,,group_109,introduced,0.16127445,,0.04695698,,0.0,,0.03031736,,0.149,
12,Group_11,Sirex cyaneus,1,native,nearctic,group_11,native,0.03434829,,0.01379332,,0.0,,0.00589394,,0.034,
13,Group_110,,1,,,group_110,native,0.10428402,,0.02457126,,0.0,,0.01211332,,0.10400000000000001,
14,Group_111,,2,,,group_111,native,0.05585423,0.00304889,0.00585623,0.0,0.0,0.15717212,0.00254784,0.0,0.06016667,0.003
15,Group_112,Campoletis flavicincta,1,,nearctic / neotropic,group_112,introduced,0.17137341,,0.105868,,0.0,,0.07749924,,0.139,
16,Group_113,,1,,,group_113,introduced,0.15606399,,0.09763847,,0.0,,0.06598810000000001,,0.125,
17,Group_114,,3,,,group_114,native,0.10817543,0.00304916,0.04695698,0.0,0.0,0.38836514,0.02181251,0.0,0.10733333,0.00333333
18,Group_115,Lasioglossum truncatum,2,native,nearctic,group_115,introduced,0.12634934,0.0,0.02331108,0.0,0.0,1.0,0.01390308,0.0,0.10733333,0.0
19,Group_116,,1,,,group_116,introduced,0.19002513,,0.15262977,,0.0,,0.11602029,,0.18100000000000002,
20,Group_117,,1,,,group_117,introduced,0.19898726,,0.20168592,,0.0,,0.12904079,,0.17600000000000002,
21,Group_118,,3,,,group_118,introduced,0.35809457,0.0,0.36340629,0.0,0.0,1.0,0.24920860000000003,0.0,0.314,0.0
22,Group_119,,1,,,group_119,native,0.07566295,,0.02777956,,0.0,,0.01681574,,0.08,
23,Group_12,Sirex cyaneus,1,native,nearctic,group_12,native,0.0964286,,0.06031979,,0.0,,0.03214778,,0.034,
24,Group_120,,1,,,group_120,introduced,0.14898132,,0.02871011,,0.0,,0.02599914,,0.149,
25,Group_121,,1,,,group_121,native,0.10354535,,0.02777956,,0.0,,0.01684351,,0.08,
26,Group_122,Halictus ligatus,1,native,nearctic,group_122,introduced,0.16639098,,0.11221199,,0.0,,0.07089463,,0.14,
27,Group_123,Lasioglossum cressonii,1,native,nearctic,group_123,native,0.07046289,,0.02309571,,0.0,,0.01183457,,0.069,
28,Group_124,Lasioglossum vierecki,2,native,nearctic,group_124,native,0.06538468,0.0,0.0098523,0.0,0.0,1.0,0.00846869,0.0,0.0715,0.001
29,Group_125,Neopareophora litura,1,native,nearctic,group_125,native,0.11652231,,0.02877896,,0.0,,0.02392547,,0.11800000000000001,
