Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,predict,prob. introduced,prob. native,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
1,Blattodea_Group_1,Reticulitermes sp,,,,1,1.0,15,introduced,0.6066940154269898,0.39330598457301025,0.9999999999999999,0.05319969328426306,0.07230371492079077,0.0,0.6708331068290015,0.012955217927944714,0.07146144662743467,0.0,0.0,0.3766618086014796,0.022867986637765143,0.0
2,Blattodea_Group_2,Parcoblatta sp,,,,1,1.0,4,introduced,0.7071782643802985,0.29282173561970093,0.801711300081858,0.0,0.10086458008660314,0.0,0.4013201359476053,0.0,0.08872045794068724,0.0,0.0,0.9999999999999999,0.0519188481886274,
3,Blattodea_Group_3,Periplaneta americana,introduced,100.0,100.0,1,1.0,3,introduced,0.6927881949769997,0.3072118050230001,0.801711300081858,0.4625379347063878,0.07230371492079077,0.0,0.4013201359476053,0.12095281091294131,0.07146144662743467,0.0,0.0,5.056150194661783e-05,0.037217481048908874,0.0
4,Coleoptera_Group_1,Trixagus carinicollis,native,100.0,100.0,1,1.0,3,introduced,0.7180591220747743,0.2819408779252249,0.4938322562408557,0.006740383548612958,0.3905580820226135,0.0,0.43418975548426003,0.003052673043067939,0.46577884590256935,0.0,0.0,0.5452265524912222,0.18674390158088433,0.0
5,Coleoptera_Group_10,Lilioceris lilii,introduced,100.0,100.0,1,1.0,1,introduced,0.6806403791655441,0.31935962083445546,0.3696873290172368,,0.15256568492604924,,0.3368842432511314,,0.17423458587159568,,0.0,,0.0923923210142154,
6,Coleoptera_Group_100,,,,,0,,1,introduced,0.6701259578035921,0.3298740421964075,0.29006022170428486,,0.07010752504109366,,0.2760999158154683,,0.057639229730441444,,0.0,,0.05093752639680204,
7,Coleoptera_Group_101,Epuraea corticina,native,100.0,100.0,1,1.0,2,introduced,0.7012044852028889,0.2987955147971111,0.2968772958785851,0.09161856981180351,0.16006182109434322,0.0,0.2715324030168002,0.04422953659918491,0.11224582709179971,0.0,0.0,0.002490641595889701,0.11806723028088228,0.0
8,Coleoptera_Group_102,,,,,0,,2,introduced,0.7096545790633654,0.29034542093663396,0.252073406372904,0.0,0.14454705817269867,0.0,0.2202268997100463,0.0,0.1395864369145683,0.0,0.0,0.9999999999999999,0.1286440375674688,
9,Coleoptera_Group_103,,,,,0,,1,introduced,0.6199409798895603,0.38005902011043924,0.21368667182099965,,0.04331332143895623,,0.2668204252041572,,0.036894373791542215,,0.0,,0.03245973780796724,
10,Coleoptera_Group_104,Bembidion concretum,native,100.0,100.0,1,1.0,1,introduced,0.6317697344151024,0.3682302655848971,0.19007311612196415,,0.04331332143895623,,0.2144521134500297,,0.036894373791542215,,0.0,,0.039465440075502005,
11,Coleoptera_Group_105,,,,,0,,2,introduced,0.6215296734425676,0.3784703265574326,0.19007311612196415,0.13380449539209768,0.039840822717429655,0.0,0.2144521134500297,0.06420703237497946,0.02471082807331744,0.0,0.0,0.00026181151007974307,0.03630143221546829,0.0
12,Coleoptera_Group_106,Quedius laticollis,native,33.0,50.0,1,1.0,6,introduced,0.6399126841182706,0.3600873158817288,0.24983539884938072,0.0996470337143127,0.08215391682785499,0.0894861530956174,0.2441368557329261,0.03455124440018599,0.06476792868085272,0.15873407316646904,0.0,0.2737770620404169,0.06669587552528197,0.18416069831314888
13,Coleoptera_Group_107,,,,,0,,2,native,0.2794443520038355,0.7205556479961649,0.24955756549144548,0.030374236462014332,0.02916222056672582,0.0,0.27900447329087885,0.013996328991931713,0.0,0.0,0.0,0.08295509469377114,0.020987849223487644,0.0
14,Coleoptera_Group_108,,,,,0,,1,introduced,0.6550188583163536,0.3449811416836462,0.23051117665545384,,0.0654599990897347,,0.2637276859402224,,0.049534743468119084,,0.0,,0.04957657350910848,
15,Coleoptera_Group_109,Cercyon praetextatus,native,100.0,100.0,1,1.0,3,introduced,0.6986856483232282,0.3013143516767709,0.26912445592928136,0.006740383548612958,0.06966900473625627,0.0,0.23775962237092424,0.0031166730306514943,0.036894373791542215,0.0,0.0,0.5452058524904252,0.05791639154085435,0.0
16,Coleoptera_Group_11,,,,,0,,1,introduced,0.6825970767108303,0.31740292328916947,0.4213313058335771,,0.33668888613277137,,0.3037876999622842,,0.2930569461913487,,0.0,,0.22422310387461014,
17,Coleoptera_Group_110,,,,,0,,1,introduced,0.6321993189496373,0.36780068105036196,0.22478031296627748,,0.05824873617725329,,0.2328555236845526,,0.02471082807331744,,0.0,,0.049332326449344495,
18,Coleoptera_Group_111,Asaphidion curtum,introduced,100.0,100.0,1,1.0,1,introduced,0.6535260608433703,0.3464739391566291,0.23226644381661665,,0.061403535020500465,,0.23339662171823822,,0.036894373791542215,,0.0,,0.05189663241346227,
19,Coleoptera_Group_112,,,,,0,,1,introduced,0.63785524429281,0.3621447557071895,0.22478031296627748,,0.05419744365862955,,0.22824730977846625,,0.036894373791542215,,0.0,,0.04672604276168458,
20,Coleoptera_Group_113,,,,,0,,1,introduced,0.6773313146885568,0.3226686853114426,0.2318261497030571,,0.0988376953312474,,0.20801320657554032,,0.06888276879857921,,0.0,,0.09251210847843325,
21,Coleoptera_Group_114,,,,,0,,1,introduced,0.6401885450858915,0.3598114549141081,0.22838819707466473,,0.05235907592465039,,0.24772300389446578,,0.036894373791542215,,0.0,,0.04195472994934251,
22,Coleoptera_Group_115,,,,,0,,1,introduced,0.6236065175311519,0.3763934824688477,0.19342860693446123,,0.03732140801422716,,0.2008602105221002,,0.051193901392492705,,0.0,,0.03602377487698532,
