Number,Order_Group,Species Name,Final Status,Status Confidence,Count,predict,prob. introduced,prob. native,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
1,Blattodea_Group_1,Reticulitermes sp,,,15.0,introduced,0.5466787217474339,0.45332127825256635,0.9999999999999999,0.05319969328426306,0.07230371492079077,0.0,0.6708331068290015,0.012955217927944714,0.07146144662743467,0.0,0.0,0.37666180862814663,0.022867986637765146,0.0
2,Blattodea_Group_2,Parcoblatta sp,,,4.0,introduced,0.7118605065460909,0.2881394934539085,0.801711300081858,0.0,0.10086458008660314,0.0,0.4013201359476053,0.0,0.08872045794068724,0.0,0.0,0.9999999999999999,0.05191884818862742,
3,Blattodea_Group_3,Periplaneta americana,introduced,100.0,3.0,introduced,0.7068028871035642,0.293197112896435,0.801711300081858,0.4625379347063878,0.07230371492079077,0.0,0.4013201359476053,0.12095281091294131,0.07146144662743467,0.0,0.0,5.0520135278358506e-05,0.03721748104890889,0.0
4,Coleoptera_Group_1,Trixagus carinicollis,native,100.0,3.0,introduced,0.7187003793704082,0.2812996206295908,0.4938322562408557,0.006740383548612958,0.3905580820226135,0.0,0.43418975548426003,0.003052673043067938,0.46577884590256935,0.0,0.0,0.5452265524912222,0.18674390158088436,0.0
5,Coleoptera_Group_10,Lilioceris lilii,introduced,100.0,1.0,introduced,0.670078360425685,0.3299216395743149,0.3696873290172367,,0.15256568492604924,,0.3368842432511314,,0.17423458587159568,,0.0,,0.09239232101421542,
6,Coleoptera_Group_100,,,,1.0,introduced,0.6568453126839651,0.34315468731603477,0.2900602217042849,,0.07010752504109366,,0.2760999158154683,,0.05763922973044145,,0.0,,0.05093752639680205,
7,Coleoptera_Group_101,Epuraea corticina,native,100.0,2.0,introduced,0.7078014812251294,0.2921985187748697,0.2968772958785851,0.09161856981180351,0.16006182109434325,0.0,0.2715324030168002,0.04422953659918491,0.11224582709179971,0.0,0.0,0.002490641595889701,0.11806723028088231,0.0
8,Coleoptera_Group_102,,,,2.0,introduced,0.7074028947442885,0.292597105255711,0.252073406372904,0.0,0.14454705817269867,0.0,0.2202268997100463,0.0,0.13958643691456826,0.0,0.0,0.9999999999999999,0.12864403756746884,
9,Coleoptera_Group_103,,,,1.0,introduced,0.5828168170703535,0.41718318292964646,0.21368667182099965,,0.04331332143895623,,0.2668204252041572,,0.036894373791542215,,0.0,,0.032459737807967244,
10,Coleoptera_Group_104,Bembidion concretum,native,100.0,1.0,introduced,0.6157975952437614,0.38420240475623857,0.19007311612196415,,0.04331332143895623,,0.2144521134500297,,0.036894373791542215,,0.0,,0.03946544007550201,
11,Coleoptera_Group_105,,,,2.0,introduced,0.6118766184415321,0.3881233815584677,0.19007311612196415,0.13380449539209768,0.039840822717429655,0.0,0.2144521134500297,0.06420703237497946,0.02471082807331744,0.0,0.0,0.00026181151007974307,0.036301432215468304,0.0
12,Coleoptera_Group_106,Quedius laticollis,native,33.0,6.0,introduced,0.627159735585175,0.3728402644148249,0.24983539884938072,0.0996470337143127,0.08215391682785499,0.08948615309561736,0.2441368557329261,0.03455124440018599,0.06476792868085272,0.15873407316646904,0.0,0.2737770620404169,0.06669587552528199,0.18416069831314888
13,Coleoptera_Group_107,,,,2.0,native,0.18283678924172642,0.8171632107582737,0.24955756549144548,0.030374236462014332,0.02916222056672582,0.0,0.27900447329087885,0.013996328991931713,0.0,0.0,0.0,0.08295509469377114,0.020987849223487648,0.0
14,Coleoptera_Group_108,,,,1.0,introduced,0.6425878433822616,0.35741215661773845,0.23051117665545384,,0.0654599990897347,,0.2637276859402224,,0.049534743468119084,,0.0,,0.04957657350910849,
15,Coleoptera_Group_109,Cercyon praetextatus,native,100.0,3.0,introduced,0.7016529559801435,0.2983470440198557,0.26912445592928136,0.006740383548612958,0.06966900473625627,0.0,0.23775962237092424,0.003116673030651495,0.036894373791542215,0.0,0.0,0.5452058524904252,0.05791639154085437,0.0
16,Coleoptera_Group_11,,,,1.0,introduced,0.6682094641861416,0.33179053581385837,0.4213313058335771,,0.33668888613277137,,0.3037876999622842,,0.2930569461913487,,0.0,,0.2242231038746102,
17,Coleoptera_Group_110,,,,1.0,introduced,0.5912876080941284,0.4087123919058715,0.22478031296627748,,0.05824873617725329,,0.2328555236845526,,0.02471082807331744,,0.0,,0.04933232644934451,
18,Coleoptera_Group_111,Asaphidion curtum,introduced,100.0,1.0,introduced,0.6371319602569312,0.3628680397430687,0.2322664438166167,,0.061403535020500465,,0.23339662171823822,,0.036894373791542215,,0.0,,0.05189663241346228,
19,Coleoptera_Group_112,,,,1.0,introduced,0.616899273117226,0.38310072688277386,0.22478031296627748,,0.054197443658629545,,0.22824730977846625,,0.036894373791542215,,0.0,,0.04672604276168458,
20,Coleoptera_Group_113,,,,1.0,introduced,0.661789701996617,0.33821029800338265,0.2318261497030571,,0.0988376953312474,,0.20801320657554032,,0.06888276879857923,,0.0,,0.09251210847843329,
